R;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
D;Patric;Lazio;6;5;1;6;5;1;8;8
D;Gyomber;Salernitana;6;4;2;6;4;2;14;14
D;Rogerio;Sassuolo;6;5;1;6;5;1;15;15
D;Umtiti;Lecce;6;7;-1;6;7;-1;21;21
D;Troost-Ekong;Salernitana;6;5;1;6;5;1;12;12
D;Nikolaou;Spezia;6;4;2;6;4;2;8;8
D;Demiral;Atalanta;6;13;-7;6;13;-7;8;8
D;Lazaro;Torino;6;7;-1;6;6;0;6;7
D;Zortea;Sassuolo;6;2;4;6;3;3;7;8
D;Ampadu;Spezia;6;6;0;6;6;0;18;18
D;Vasquez;Cremonese;6;6;0;6;6;0;8;8
D;Bradaric;Salernitana;6;7;-1;6;7;-1;17;17
D;Lochoshvili;Cremonese;6;3;3;6;3;3;8;8
D;Ehizibue;Udinese;6;4;2;6;4;2;12;12
D;Thiaw;Milan;6;6;0;6;6;0;16;6
D;D'ambrosio;Inter;5;8;-3;5;9;-4;11;11
D;Medel;Bologna;5;7;-2;5;7;-2;6;6
D;De Silvestri;Bologna;5;9;-4;5;9;-4;2;2
D;Ceccherini;Verona;5;6;-1;5;6;-1;13;14
D;Ferrari G.;Sassuolo;5;8;-3;5;8;-3;11;11
D;Lykogiannis;Bologna;5;4;1;5;4;1;8;8
D;Aina;Torino;5;5;0;5;5;0;9;8
D;Ranieri L.;Fiorentina;5;1;4;5;1;4;1;1
D;Toljan;Sassuolo;5;5;0;5;5;0;12;12
D;Gallo;Lecce;5;2;3;5;2;3;8;8
D;Bellanova;Inter;5;8;-3;5;7;-2;2;2
D;Soumaoro;Bologna;5;5;0;5;5;0;12;12
D;Ismajli;Empoli;5;3;2;5;3;2;9;9
D;Ballo-Toure';Milan;5;2;3;5;2;3;3;3
D;Amione;Sampdoria;5;2;3;5;3;2;9;9
D;Holm;Spezia;5;2;3;6;3;3;8;8
D;Gatti;Juventus;5;5;0;5;5;0;16;16
D;Birindelli;Monza;5;3;2;5;4;1;7;7
D;Ebosele;Udinese;5;2;3;5;2;3;4;4
D;Sambia;Salernitana;5;7;-2;5;7;-2;8;8
D;Lucumi';Bologna;5;9;-4;5;10;-5;17;17
D;Ferrari A.;Cremonese;4;5;-1;4;5;-1;5;5
D;Chiriches;Cremonese;4;5;-1;4;5;-1;8;8
D;Palomino;Atalanta;4;10;-6;4;10;-6;10;10
D;Bonifazi;Bologna;4;4;0;4;4;0;4;4
D;Lazzari;Lazio;4;10;-6;4;10;-6;12;12
D;Nuytinck;Sampdoria;4;7;-3;4;7;-3;11;11
D;Gunter;Sampdoria;4;5;-1;4;5;-1;8;8
D;Magnani;Verona;4;3;1;4;3;1;8;8
D;Zeegelaar;Udinese;4;2;2;4;2;2;4;4
D;Igor;Fiorentina;4;9;-5;4;10;-6;15;16
D;Dawidowicz;Verona;4;4;0;4;4;0;8;8
D;Celik;Roma;4;7;-3;4;7;-3;6;6
D;Stojanovic;Empoli;4;7;-3;4;7;-3;4;4
D;Amian;Spezia;4;6;-2;4;6;-2;9;10
D;Daniliuc;Salernitana;4;7;-3;4;8;-4;12;12
D;Aiwu;Cremonese;4;5;-1;4;5;-1;4;4
D;Wisniewski;Spezia;4;3;1;4;3;1;8;8
D;Ghiglione;Cremonese;3;5;-2;3;5;-2;7;7
D;Rugani;Juventus;3;5;-2;3;5;-2;5;5
D;De Sciglio;Juventus;3;6;-3;3;7;-4;10;11
D;Bianchetti;Cremonese;3;4;-1;3;4;-1;7;7
D;Alex Sandro;Juventus;3;8;-5;3;8;-5;13;13
D;Murru;Sampdoria;3;5;-2;3;5;-2;4;4
D;Bereszynski;Napoli;3;6;-3;3;6;-3;3;3
D;Hateboer;Atalanta;3;9;-6;3;8;-5;1;1
D;Venuti;Fiorentina;3;3;0;3;3;0;4;4
D;Gravillon;Torino;3;5;-2;3;5;-2;12;13
D;Marlon;Monza;3;7;-4;3;7;-4;9;9
D;Kjaer;Milan;3;5;-2;3;5;-2;23;23
D;Pellegrini Lu.;Lazio;3;7;-4;3;7;-4;7;7
D;Walukiewicz;Empoli;3;4;-1;3;4;-1;2;2
D;Okoli;Atalanta;3;5;-2;3;5;-2;2;2
D;Lovato;Salernitana;3;6;-3;3;6;-3;5;5
D;Erlic;Sassuolo;3;9;-6;3;9;-6;14;14
D;Ceccaroni;Lecce;3;5;-2;3;5;-2;4;6
D;Coppola D.;Verona;3;2;1;3;2;1;8;8
D;Cacace;Empoli;3;3;0;3;3;0;3;3
D;Quagliata;Cremonese;3;3;0;3;3;0;3;3
D;Abankwah;Udinese;3;1;2;3;1;2;1;1
D;Guessand A.;Udinese;3;1;2;3;1;2;1;1
D;Cabal;Verona;3;3;0;3;3;0;2;2
D;Oikonomou;Sampdoria;2;2;0;2;2;0;2;2
D;Dermaku;Lecce;2;4;-2;2;4;-2;2;2
D;Tonelli;Empoli;2;1;1;2;1;1;1;1
D;Murillo;Sampdoria;2;3;-1;2;3;-1;4;4
D;Pezzella Giu.;Lecce;2;6;-4;2;6;-4;5;5
D;Fazio;Salernitana;2;6;-4;2;6;-4;5;5
D;Karsdorp;Roma;2;10;-8;2;10;-8;3;3
D;Marchizza;Sassuolo;2;2;0;2;2;0;4;4
D;Romagna;Sassuolo;2;1;1;2;1;1;1;1
D;Donati;Monza;2;4;-2;2;4;-2;5;5
D;Gabbia;Milan;2;1;1;2;1;1;2;2
D;Tuia;Lecce;2;3;-1;2;3;-1;4;4
D;Ferrer;Spezia;2;3;-1;1;4;-3;3;4
D;Dest;Milan;2;5;-3;1;6;-5;5;5
D;Ruggeri;Atalanta;2;1;1;2;1;1;8;8
D;Antov;Monza;2;1;1;2;1;1;1;1
D;Pongracic;Lecce;2;6;-4;2;6;-4;3;3
D;Soppy;Atalanta;2;7;-5;2;7;-5;4;4
D;Ruan;Sassuolo;2;3;-1;2;3;-1;12;12
D;Ostigard;Napoli;2;7;-5;2;7;-5;6;6
D;Gila;Lazio;2;4;-2;2;4;-2;2;2
D;Bayeye;Torino;2;1;1;2;1;1;1;1
D;Barbieri;Juventus;2;1;1;2;1;1;1;1
D;Bronn;Salernitana;2;5;-3;2;5;-3;6;6
D;Conti;Sampdoria;1;3;-2;1;3;-2;1;1
D;Romagnoli S.;Lecce;1;3;-2;1;3;-2;4;4
D;Marrone;Monza;1;4;-3;1;4;-3;1;1
D;Radu;Lazio;1;2;-1;1;2;-1;1;1
D;Florenzi;Milan;1;7;-6;1;7;-6;2;2
D;Sala;Spezia;1;5;-4;1;6;-5;3;4
D;Fares;Lazio;1;2;-1;1;2;-1;1;1
D;Caldara;Spezia;1;6;-5;1;6;-5;8;8
D;Cassandro;Lecce;1;1;0;1;1;0;1;1
D;Kumbulla;Roma;1;4;-3;1;4;-3;4;4
D;Muldur;Sassuolo;1;5;-4;1;5;-4;2;2
D;Adopo;Torino;1;1;0;1;1;0;4;4
D;Amey;Bologna;1;1;0;1;1;0;1;1
D;Zima;Torino;1;5;-4;1;5;-4;4;4
D;De Winter;Empoli;1;4;-3;1;5;-4;8;8
D;Zanotti;Inter;1;1;0;1;1;0;1;1
D;Buta;Udinese;1;1;0;1;1;0;1;1
D;Ebosse;Udinese;1;4;-3;1;4;-3;1;1
D;Sosa;Bologna;1;2;-1;1;2;-1;1;1
D;Guarino;Empoli;1;1;0;1;1;0;1;1
D;Moutinho J.;Spezia;1;2;-1;1;2;-1;3;3
D;Zeefuik;Verona;1;4;-3;1;4;-3;2;2
D;Carboni F.;Monza;1;1;0;1;1;0;1;1
